"","lakeid","year4","sampledate","gearid","spname","length","weight","sex"
"1","TR",1981,"8/11/1981","VGN032","CISCO",140,21.4,"F"
"2","TR",1981,"8/10/1981","VGN032","CISCO",146,22.3,"F"
"3","TR",1981,"8/11/1981","VGN032","CISCO",147,23.3,"F"
"4","TR",1981,"8/19/1981","VGN032","CISCO",153,23.5,"F"
"5","TR",1981,"8/19/1981","VGN032","CISCO",150,24,"F"
"6","TR",1981,"8/19/1981","VGN032","CISCO",152,24,"F"
"7","TR",1981,"8/19/1981","VGN032","CISCO",146,24.5,"F"
"8","TR",1981,"8/11/1981","VGN032","CISCO",153,25.9,"F"
"9","TR",1981,"8/11/1981","VGN032","CISCO",156,26.5,"F"
"10","TR",1981,"8/10/1981","VGN032","CISCO",176,35.8,"F"
"11","TR",1981,"8/11/1981","VGN032","CISCO",183,45.9,"F"
"12","TR",1981,"8/18/1981","VGN032","CISCO",179,47.5,"F"
"13","TR",1981,"8/11/1981","VGN038","CISCO",189,47.8,"F"
"14","TR",1981,"8/19/1981","VGN032","CISCO",195,50,"F"
"15","TR",1981,"8/19/1981","VGN038","CISCO",196,50,"F"
"16","TR",1981,"8/12/1981","VGN032","CISCO",193,52,"F"
"17","TR",1981,"8/11/1981","VGN038","CISCO",200,53,"F"
"18","TR",1981,"8/19/1981","VGN032","CISCO",203,55,"F"
"19","TR",1981,"8/11/1981","VGN032","CISCO",198,56,"F"
"20","TR",1981,"8/11/1981","VGN038","CISCO",203,58,"F"
"21","TR",1981,"8/12/1981","VGN032","CISCO",205,59,"F"
"22","TR",1981,"8/18/1981","VGN038","CISCO",210,60,"F"
"23","TR",1981,"8/19/1981","VGN032","CISCO",210,60,"F"
"24","TR",1981,"8/19/1981","VGN032","CISCO",215,65,"F"
"25","TR",1981,"8/19/1981","VGN032","CISCO",216,65,"F"
"26","TR",1981,"8/19/1981","VGN038","CISCO",211,70,"F"
"27","TR",1981,"8/19/1981","VGN051","CISCO",222,80,"F"
"28","TR",1981,"8/19/1981","VGN051","CISCO",232,92,"F"
"29","TR",1981,"8/12/1981","VGN032","CISCO",152,NA,"F"
"30","TR",1981,"8/19/1981","VGN032","CISCO",195,NA,"F"
"31","TR",1981,"8/12/1981","VGN038","CISCO",200,NA,"F"
