year,month,day,length,weight,sex,maturity,gonad_weight,gsi
2017,Jan,6,19.2,57.4,M,II,0.2,0.348
2017,Jan,6,17.7,40.8,M,II,0.2,0.49
2017,Jan,6,16.9,40.6,F,II,0.2,0.493
2017,Jan,6,19.8,80.8,F,II,0.4,0.495
2017,Jan,6,17.9,42.5,F,II,0.3,0.706
2017,Jan,6,18.3,47.6,M,III,0.5,1.05
2017,Jan,6,19.5,67.6,F,III,1.5,2.219
2017,Jan,6,16.7,33.9,F,II,0.4,1.18
2017,Jan,6,17.1,38.3,F,II,0.3,0.783
2017,Jan,6,19.9,59.4,M,II,1.4,2.357
2017,Jan,6,19.8,80.4,F,II,0.5,0.622
2017,Jan,6,16.7,40.9,F,II,0.1,0.244
2017,Jan,6,18,51.4,F,II,0.4,0.778
2017,Jan,6,20.1,79.2,F,II,0.5,0.631
2017,Jan,6,20.8,84.1,M,III,1.7,2.021
2017,Jan,6,19.6,78.1,F,II,0.5,0.64
2017,Jan,6,19.7,70.2,F,II,0.7,0.997
2017,Jan,6,19.1,65.8,F,II,0.6,0.912
2017,Jan,12,17.1,37.2,M,III,0.6,1.613
2017,Jan,12,16.4,29.8,M,III,0.2,0.671
2017,Jan,12,21.2,77.4,F,III,2.1,2.713
2017,Jan,12,23.1,120.7,F,IV,2.3,1.906
2017,Jan,12,16.4,39.1,M,III,0.3,0.767
2017,Jan,12,19.3,61.9,F,III,1.7,2.746
2017,Jan,12,15,28.1,M,III,0.1,0.356
2017,Jan,12,15.3,27.5,M,III,0.2,0.727
2017,Jan,12,20.4,75.9,F,III,1.9,2.503
2017,Jan,12,21.5,77.8,F,IV,1.9,2.442
2017,Jan,12,15.7,30.2,M,III,0.2,0.662
2017,Jan,12,19.6,80.3,F,III,0.9,1.121
2017,Jan,12,17.9,48.9,F,III,0.6,1.227
2017,Jan,12,20.6,75.8,F,III,1.8,2.375
2017,Jan,12,15.9,60.7,F,III,0.8,1.318
2017,Jan,12,16.5,61.3,F,III,0.5,0.816
2017,Jan,12,16.8,70.2,F,III,0.7,0.997
2017,Jan,18,18.5,61.2,M,IV,0.4,0.654
2017,Jan,18,21.6,97.3,F,V,4.4,4.522
2017,Jan,18,23.6,141.2,F,IV,2,1.416
2017,Jan,18,21.2,78.1,F,IV,1.8,2.305
2017,Jan,18,17.6,53.6,F,V,3.1,5.784
2017,Jan,18,18.7,61.7,F,V,2.8,4.538
2017,Jan,18,24.2,143.9,F,IV,6.7,4.656
2017,Jan,18,20.8,81.9,F,V,4.1,5.006
2017,Jan,18,19.4,70.8,F,V,3.2,4.52
2017,Jan,18,20.9,69.4,F,IV,1.5,2.161
2017,Jan,18,19.8,67.4,M,IV,0.7,1.039
2017,Jan,18,22,91.5,F,V,2.4,2.623
2017,Jan,18,18.3,43.8,F,V,1.1,2.511
2017,Jan,18,19.8,73.6,F,V,4,5.435
2017,Jan,18,18.8,61.9,F,V,1.2,1.939
2017,Jan,18,14.6,24.1,F,I,0,0
2017,Jan,18,20.9,82.3,F,V,1.6,1.944
2017,Jan,18,18.4,44.1,F,V,1.2,2.721
2017,Jan,18,14.9,26.3,F,I,0,0
2017,Jan,18,13.9,23.8,F,I,0,0
2017,Jan,18,20.6,71.3,F,V,1.4,1.964
2017,Jan,18,19.3,68.1,F,V,1.6,2.349
2017,Jan,18,21.3,99.5,F,V,3,3.015
2017,Jan,18,14.2,20.9,F,I,0,0
2017,Jan,18,14.9,27.4,F,I,0,0
2017,Jan,18,15.2,27,F,I,0,0
2017,Jan,18,14.3,20.6,M,I,0,0
2017,Feb,3,19.6,59.9,F,II,0.8,1.336
2017,Feb,3,14.2,21.3,F,I,0,0
2017,Feb,3,15.5,27.6,F,I,0,0
